timestamp,instance,ops_per_sec,connected_clients,used_memory_mb,cmd_get,cmd_set,cmd_xadd,cmd_xreadgroup,cmd_xack,cmd_watch,cmd_multi,cmd_exec,cmd_eval,total_commands
1775422125,redis-bus,2803,271,11.0,0,0,0,95364,0,0,0,0,0,101456
1775422125,redis-orchestrator,12,26,23.6,83,83,0,0,0,0,0,0,84,502
1775422125,redis-order,4,52,16.0,0,0,0,0,0,0,0,0,0,247
1775422125,redis-payment,0,12,18.0,0,0,0,0,0,0,0,0,0,60
1775422125,redis-stock,0,9,18.1,0,0,0,0,0,0,0,0,0,51
1775422127,redis-bus,4597,368,11.4,0,0,1200,101848,600,0,0,0,0,110346
1775422127,redis-orchestrator,1068,54,24.2,293,391,0,0,0,202,302,302,92,2236
1775422127,redis-order,944,123,17.3,500,200,0,0,0,200,200,200,0,1770
1775422127,redis-payment,80,22,18.1,100,0,0,0,0,0,0,0,0,192
1775422127,redis-stock,92,25,18.3,100,0,0,0,0,0,0,0,0,201
1775422130,redis-bus,7157,400,11.5,0,0,6000,110127,3000,0,0,0,0,126235
1775422130,redis-orchestrator,3040,66,24.0,1119,1599,0,0,0,1020,1520,1520,100,8786
1775422130,redis-order,2469,159,16.8,2744,1112,0,0,0,1112,1112,1112,0,7780
1775422130,redis-payment,189,34,18.1,615,0,0,0,0,0,0,0,0,745
1775422130,redis-stock,236,41,18.2,700,0,0,0,0,0,0,0,0,851
1775422132,redis-bus,11210,440,12.7,0,0,16800,120403,8400,0,0,0,0,153142
1775422132,redis-orchestrator,6646,97,24.2,2940,4302,0,0,0,2838,4238,4238,103,23368
1775422132,redis-order,4838,189,16.8,6800,2800,0,0,0,2800,2800,2800,0,18684
1775422132,redis-payment,373,34,18.1,1400,0,0,0,0,0,0,0,0,1534
1775422132,redis-stock,384,48,18.3,1400,0,0,0,0,0,0,0,0,1577
1775422134,redis-bus,13616,452,13.3,0,0,28786,130343,14393,0,0,0,0,181398
1775422134,redis-orchestrator,8013,105,24.1,4964,7303,0,0,0,4858,7257,7257,107,39484
1775422134,redis-order,6443,207,16.8,12220,4943,0,0,0,4943,4943,4943,0,32735
1775422134,redis-payment,588,35,18.1,2619,0,0,0,0,0,0,0,0,2760
