timestamp,container,cpu,mem_usage,net_io
1775423486,dds26-team9-gateway-1,0.00%,9.16MiB / 354.3GiB,4.48kB / 3.28kB
1775423486,dds26-team9-orchestrator-worker-13,0.81%,34.82MiB / 512MiB,1.64MB / 2.83MB
1775423486,dds26-team9-orchestrator-worker-15,0.62%,32.85MiB / 512MiB,1.64MB / 2.82MB
1775423486,dds26-team9-orchestrator-worker-9,0.59%,34.83MiB / 512MiB,1.63MB / 2.81MB
1775423486,dds26-team9-orchestrator-worker-14,0.69%,35.04MiB / 512MiB,1.63MB / 2.8MB
1775423486,dds26-team9-orchestrator-worker-5,0.59%,34.89MiB / 512MiB,1.62MB / 2.79MB
1775423486,dds26-team9-orchestrator-worker-21,0.73%,34.9MiB / 512MiB,1.61MB / 2.78MB
1775423486,dds26-team9-orchestrator-worker-22,0.65%,34.84MiB / 512MiB,1.61MB / 2.77MB
1775423486,dds26-team9-orchestrator-worker-17,0.56%,34.82MiB / 512MiB,1.6MB / 2.76MB
1775423486,dds26-team9-orchestrator-worker-8,0.83%,34.82MiB / 512MiB,1.6MB / 2.76MB
1775423486,dds26-team9-orchestrator-worker-10,0.57%,32.91MiB / 512MiB,1.6MB / 2.75MB
1775423486,dds26-team9-orchestrator-worker-11,0.64%,34.85MiB / 512MiB,1.59MB / 2.75MB
1775423486,dds26-team9-orchestrator-worker-12,0.54%,32.86MiB / 512MiB,1.59MB / 2.75MB
1775423486,dds26-team9-orchestrator-worker-19,0.52%,34.84MiB / 512MiB,1.59MB / 2.74MB
1775423486,dds26-team9-stock-web-4,6.84%,212.4MiB / 512MiB,19.1kB / 6.07kB
1775423486,dds26-team9-orchestrator-worker-24,0.62%,34.96MiB / 512MiB,1.58MB / 2.74MB
1775423486,dds26-team9-stock-web-2,6.84%,212.7MiB / 512MiB,17.1kB / 5.53kB
1775423486,dds26-team9-orchestrator-worker-2,0.58%,34.83MiB / 512MiB,1.58MB / 2.73MB
1775423486,dds26-team9-orchestrator-worker-6,0.63%,34.83MiB / 512MiB,1.58MB / 2.73MB
1775423486,dds26-team9-stock-worker-3,0.58%,35.02MiB / 512MiB,1.55MB / 2.42MB
1775423486,dds26-team9-orchestrator-worker-23,0.88%,34.85MiB / 512MiB,1.58MB / 2.73MB
1775423486,dds26-team9-orchestrator-worker-16,0.54%,34.86MiB / 512MiB,1.57MB / 2.72MB
1775423486,dds26-team9-orchestrator-worker-3,0.61%,32.82MiB / 512MiB,1.57MB / 2.72MB
1775423486,dds26-team9-orchestrator-worker-7,0.63%,32.86MiB / 512MiB,1.57MB / 2.71MB
1775423486,dds26-team9-orchestrator-worker-20,0.66%,32.84MiB / 512MiB,1.57MB / 2.71MB
1775423486,dds26-team9-orchestrator-worker-4,0.59%,32.88MiB / 512MiB,1.56MB / 2.71MB
1775423486,dds26-team9-stock-worker-1,0.53%,32.89MiB / 512MiB,1.54MB / 2.41MB
1775423486,dds26-team9-stock-worker-6,0.55%,32.91MiB / 512MiB,1.53MB / 2.4MB
1775423486,dds26-team9-orchestrator-worker-25,0.64%,34.93MiB / 512MiB,1.56MB / 2.7MB
1775423486,dds26-team9-stock-worker-4,0.56%,34.98MiB / 512MiB,1.52MB / 2.38MB
1775423486,dds26-team9-stock-worker-7,0.55%,32.87MiB / 512MiB,1.52MB / 2.38MB
1775423486,dds26-team9-stock-worker-2,0.59%,35.06MiB / 512MiB,1.51MB / 2.37MB
1775423486,dds26-team9-stock-web-3,0.29%,211.5MiB / 512MiB,15.5kB / 4.85kB
1775423486,dds26-team9-orchestrator-worker-18,0.87%,34.83MiB / 512MiB,1.56MB / 2.7MB
1775423486,dds26-team9-stock-worker-8,0.53%,32.87MiB / 512MiB,1.51MB / 2.36MB
1775423486,dds26-team9-stock-worker-5,0.63%,35.04MiB / 512MiB,1.5MB / 2.36MB
1775423486,dds26-team9-orchestrator-worker-1,0.73%,32.86MiB / 512MiB,1.56MB / 2.69MB
1775423486,dds26-team9-order-web-23,0.30%,237.8MiB / 1GiB,18.5kB / 5.06kB
1775423486,dds26-team9-order-web-14,7.21%,238.6MiB / 1GiB,17.5kB / 5.67kB
1775423486,dds26-team9-order-web-25,0.29%,237.8MiB / 1GiB,15.9kB / 4.91kB
1775423486,dds26-team9-order-web-21,0.30%,237.8MiB / 1GiB,14.7kB / 4.85kB
1775423486,dds26-team9-order-web-3,0.30%,237.5MiB / 1GiB,13.6kB / 4.38kB
1775423486,dds26-team9-order-web-19,0.30%,237.4MiB / 1GiB,13kB / 4.31kB
1775423486,dds26-team9-order-web-13,0.30%,238MiB / 1GiB,13.1kB / 5.52kB
1775423486,dds26-team9-stock-web-1,0.29%,225.1MiB / 512MiB,17.6kB / 3.7MB
1775423486,dds26-team9-order-worker-4,0.67%,33.95MiB / 512MiB,1.59MB / 2.48MB
1775423486,dds26-team9-order-web-16,0.28%,237.5MiB / 1GiB,11.7kB / 4.38kB
1775423486,dds26-team9-order-worker-7,0.87%,35.94MiB / 512MiB,1.58MB / 2.47MB
1775423486,dds26-team9-order-web-24,0.29%,238.4MiB / 1GiB,12.3kB / 6.06kB
1775423486,dds26-team9-order-worker-3,0.62%,37.93MiB / 512MiB,1.57MB / 2.46MB
1775423486,dds26-team9-order-web-7,0.27%,238.4MiB / 1GiB,11.9kB / 6.06kB
1775423486,dds26-team9-order-web-15,0.26%,238.1MiB / 1GiB,11.1kB / 5.39kB
1775423486,dds26-team9-order-web-18,0.32%,237.5MiB / 1GiB,9.89kB / 4.44kB
1775423486,dds26-team9-order-web-10,0.30%,238MiB / 1GiB,10.3kB / 5.52kB
1775423486,dds26-team9-order-worker-6,0.68%,34MiB / 512MiB,1.56MB / 2.44MB
1775423486,dds26-team9-order-worker-5,0.84%,35.92MiB / 512MiB,1.55MB / 2.44MB
1775423486,dds26-team9-order-web-2,0.31%,239.7MiB / 1GiB,9.62kB / 4.85kB
1775423486,dds26-team9-order-web-22,0.30%,238.5MiB / 1GiB,10kB / 6.06kB
1775423486,dds26-team9-order-worker-2,0.62%,36.12MiB / 512MiB,1.55MB / 2.43MB
1775423486,dds26-team9-order-web-4,0.32%,237.8MiB / 1GiB,8.99kB / 4.98kB
1775423486,dds26-team9-order-web-9,0.29%,237.5MiB / 1GiB,8.38kB / 4.38kB
1775423486,dds26-team9-order-web-12,0.27%,237.8MiB / 1GiB,8.44kB / 4.91kB
1775423486,dds26-team9-order-web-17,0.27%,257.7MiB / 1GiB,17kB / 11.5MB
1775423486,dds26-team9-order-web-5,0.31%,237.8MiB / 1GiB,7.68kB / 4.98kB
1775423486,dds26-team9-order-web-11,0.29%,238.4MiB / 1GiB,8.1kB / 6.06kB
1775423486,dds26-team9-order-web-6,0.31%,238.1MiB / 1GiB,7.41kB / 5.45kB
1775423486,dds26-team9-order-web-1,0.25%,238.4MiB / 1GiB,7.42kB / 6.12kB
1775423486,dds26-team9-order-web-8,0.30%,237.8MiB / 1GiB,6.42kB / 4.91kB
1775423486,dds26-team9-order-worker-1,0.59%,33.96MiB / 512MiB,1.55MB / 2.43MB
1775423486,dds26-team9-order-web-20,0.29%,238.1MiB / 1GiB,6.44kB / 5.45kB
1775423486,dds26-team9-order-worker-8,0.56%,35.93MiB / 512MiB,1.54MB / 2.42MB
1775423486,dds26-team9-user-web-1,0.28%,211.9MiB / 512MiB,18.9kB / 5.53kB
1775423486,dds26-team9-user-web-3,6.74%,225.8MiB / 512MiB,21.5kB / 3.1MB
1775423486,dds26-team9-user-worker-2,0.69%,33.13MiB / 512MiB,1.55MB / 2.49MB
1775423486,dds26-team9-user-worker-3,0.58%,36.98MiB / 512MiB,1.54MB / 2.48MB
1775423486,dds26-team9-user-worker-1,0.63%,32.95MiB / 512MiB,1.54MB / 2.47MB
1775423486,dds26-team9-user-web-2,6.73%,211.9MiB / 512MiB,16.5kB / 4.99kB
1775423486,dds26-team9-user-web-4,0.28%,212.1MiB / 512MiB,15.2kB / 4.85kB
1775423486,dds26-team9-user-worker-4,0.62%,34.82MiB / 512MiB,1.53MB / 2.46MB
1775423486,dds26-team9-redis-order-1,1.51%,41.53MiB / 512MiB,31.2MB / 12.5MB
1775423486,dds26-team9-redis-orchestrator-1,4.53%,34.69MiB / 512MiB,68.7MB / 39.6MB
1775423486,dds26-team9-redis-payment-1,0.41%,37.54MiB / 512MiB,13MB / 6.12MB
1775423486,dds26-team9-redis-stock-1,0.68%,31.98MiB / 512MiB,22.7MB / 12MB
1775423489,dds26-team9-gateway-1,0.01%,9.16MiB / 354.3GiB,4.48kB / 3.28kB
1775423489,dds26-team9-orchestrator-worker-13,0.93%,35.02MiB / 512MiB,1.68MB / 2.88MB
1775423489,dds26-team9-orchestrator-worker-15,0.95%,32.85MiB / 512MiB,1.67MB / 2.87MB
